Model,Epochs,Embedding Size,Threshold,Random Seed,Train Loss,Val Loss,Correct Normal Predictions,Correct Anomaly Predictions,Total Time (s),AUC Score
FF,2,64,26,243402067,16.222040954399187,16.68016912730317,203,219,15.57,0.9839035883321867
FF,2,64,26,243402067,16.06355726829415,15.60494999036397,202,218,17.16,0.9883655470069432
FF,2,64,26,243402067,17.11909692242279,16.688820237982764,209,218,15.8,0.9799003356894143
FF,2,64,26,725126989,19.028114133955537,18.539110440641778,194,219,15.85,0.9844665457350764
