Model,Epochs,Embedding Size,Threshold,Random Seed,Train Loss,Val Loss,Correct Normal Predictions,Correct Anomaly Predictions,Total Time (s),AUC Score
FF,5,64,26,1300914166,3.7804839183122683,3.836715034076146,14,0,4.05,0.586734693877551
FF,5,64,26,2213479736,3.7862878961440845,3.88773022379194,14,0,5.55,0.4693877551020408
FF,5,64,26,513654879,3.7979667553534875,3.873898983001709,14,0,3.26,0.5306122448979592
FF,5,64,26,3688505760,3.775438067240593,3.9737656457083568,14,0,3.74,0.45918367346938777
FF,5,64,26,341816986,3.7969930110833583,3.734517659459795,14,0,5.16,0.2448979591836735
FF,5,64,26,1423126110,3.7375747301639657,4.213333742959159,14,0,3.69,0.3775510204081633
FF,50,64,26,4273470485,3.265626845766516,3.273901925563812,750,0,725.24,0.5181777777777777
FF,50,64,1,3686087565,3.1547042662957137,3.254928280512492,0,75,64.74,0.5527111111111112
FF,5,64,5,4246818854,3.620371607051176,3.8290767653783164,68,6,10.33,0.5365333333333333
FF,5,64,7,1467710958,3.464553549850688,3.494679652849833,75,0,10.47,0.5457777777777778
FF,5,64,6,516707275,3.5252843199056736,3.3718951829274495,74,2,10.62,0.4552888888888888
FF,5,64,5.5,1458467004,3.4758782103482413,3.5847103214263916,74,1,10.67,0.4357333333333334
FF,5,64,5.5,4,3.5653875609005197,3.7511299149195354,71,0,10.31,0.5009777777777779
FF,5,64,5.5,4,3.5653875609005197,3.7511299149195354,71,0,10.97,0.5009777777777779
FF,5,64,5.5,1254927881,3.6520534003482146,3.6190372021993,72,1,13.07,0.5061333333333332
FF,5,64,5.5,3629932618,1.12103009855046,1.1091480183601379,73,0,8.53,0.4501333333333334
FF,50,64,5.5,481754783,0.9104621465884003,0.8877678977118598,221,0,207.85,0.49274074074074076
FF,10,64,5.5,2754040127,1.0161716353075176,0.9849955238236321,225,0,41.44,0.5783111111111111
FF,10,64,5.5,1864085184,0.9046098288543084,0.8438114437659582,730,0,148.41,0.5381119999999999
FF,10,64,5.5,431781768,0.9550981821850234,0.9454854056570265,219,0,42.86,0.5746172839506173
FF,50,64,5.5,2823045351,0.9954695541017196,1.695342893600464,75,2,16.46,0.5717333333333333
FF,50,64,5.5,1969805777,0.9505751357359045,1.2071489946047465,75,0,20.25,0.5184
FF,50,64,5.5,3368383488,0.9646240461223266,1.0507188375790915,75,0,22.73,0.5518222222222223
FF,50,64,5.5,1,1.0660094357238097,1.014739335378011,75,0,16.27,0.5461333333333332
FF,50,64,5.5,1,1.0660094357238097,1.014739335378011,75,0,18.63,0.5461333333333332
