Model,Epochs,Embedding Size,Threshold,Random Seed,Train Loss,Val Loss,Correct Normal Predictions,Correct Anomaly Predictions,Total Time (s),AUC Score
RAE,2,64,26,2280899679,52.127886391992966,51.08241442676004,0,219,63.03,0.911240382811034
FF,5,64,26,1177034297,14.826446819766689,14.229314390382811,209,219,21.52,0.9822772669460602
FF,5,64,26,2689360902,17.59070448796627,16.851096301318304,204,219,20.58,0.9869060278142657
FF,5,64,26,2445140560,16.321623032441885,15.49515398452271,203,219,20.26,0.9882404453618566
