Model,Epochs,Embedding Size,Threshold,Random Seed,Train Loss,Val Loss,Correct Normal Predictions,Correct Anomaly Predictions,Total Time (s),AUC Score
FF,5,64,26,1112988307,18.663379287681288,19.00032291673634,196,216,31.3,0.9782114634807446
RAE,2,64,26,2297397991,55.09599815285624,54.783063426954016,0,219,32.69,0.9116990888430182
FF,5,64,26,42,13.7766432935122,13.080950096861956,211,217,25.3,0.9846124976543441
FF,5,64,26,42,13.7766432935122,13.080950096861956,211,217,25.48,0.9846124976543441
FF,5,64,26,0,14.26524951082235,13.59403201325299,203,217,23.78,0.9762098371593586
FF,5,64,26,0,17.204357872754997,16.45184555227898,201,219,23.58,0.9839244386063677
FF,5,64,26,0,14.26524951082235,13.59403201325299,203,217,24.32,0.9762098371593586
FF,5,64,26,0,17.204357872754997,16.45184555227898,201,219,23.26,0.9839244386063677
FF,5,64,26,3,14.114279588832341,14.741798714415667,207,219,23.52,0.9901378203123371
FF,5,64,26,3,14.114279588832341,14.741798714415667,207,219,25.33,0.9901378203123371
FF,5,64,26,0,14.26524951082235,13.59403201325299,203,217,24.22,0.9762098371593586
FF,5,64,26,0,14.189672051106475,13.887538692178246,201,216,22.91,0.9753341256437522
FF,5,64,26,0,14.189672051106475,13.887538692178246,201,216,23.62,0.9753341256437522
FF,5,64,26,2555045268,13.718559104076848,14.92838309126902,214,218,24.72,0.9906799274410457
FF,5,64,26,2011305598,13.78187096767587,13.854441553490346,208,218,25.04,0.9910135318279435
FF,5,64,26,2011305598,13.71292058617201,13.556926196024298,209,218,23.25,0.9874898354913368
FF,5,64,26,2011305598,14.847286416945176,14.373079768054561,209,219,23.25,0.9879068409749588
FF,5,64,26,2011305598,14.847286416945176,14.373079768054561,209,219,23.59,0.9879068409749588
FF,5,64,26,42,13.443276024210698,13.305603687077353,208,219,23.68,0.9929943078751485
FF,5,64,26,42,13.443276024210698,13.305603687077353,208,219,23.53,0.9929943078751485
FF,5,64,26,42,13.491281723505256,13.890502616150739,207,219,23.8,0.9915973395050145
FF,5,64,26,42,13.491281723505256,13.890502616150739,207,219,23.34,0.9915973395050145
FF,5,64,26,42,13.491281723505256,13.890502616150739,207,219,23.37,0.9915973395050145
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,29.27,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,26.85,0.984174641896541
FF,5,64,26,43,14.969507453999947,14.321876033800377,210,219,20.5,0.9830070265423989
FF,5,64,26,43,15.076708729446823,14.909575122676484,208,219,27.65,0.9788578219803591
FF,5,64,26,43,15.076708729446823,14.909575122676484,208,219,27.5,0.9788578219803591
FF,5,64,26,43,14.969507453999947,14.321876033800377,210,219,18.44,0.9830070265423989
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,27.23,0.984174641896541
FF,5,64,26,43,14.969507453999947,14.321876033800377,210,219,21.41,0.9830070265423989
FF,5,64,26,43,14.969507453999947,14.321876033800377,210,219,20.27,0.9830070265423989
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,26.31,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,25.59,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,25.45,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,25.29,0.984174641896541
FF,5,64,26,43,15.076708729446823,14.909575122676484,208,219,24.66,0.9788578219803591
FF,5,64,26,43,15.076708729446823,14.909575122676484,208,219,24.54,0.9788578219803591
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,26.55,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,25.89,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,25.74,0.984174641896541
FF,5,64,26,43,14.944018661855738,14.377556705039385,210,219,26.46,0.984174641896541
FF,5,64,26,50,15.770321287680229,15.85875224631671,207,219,36.54,0.9804841433664853
