Model,Epochs,Embedding Size,Threshold,Random Seed,Train Loss,Val Loss,Correct Normal Predictions,Correct Anomaly Predictions,Total Time (s),AUC Score
FF,5,64,26,50,15.770321287680229,15.85875224631671,207,219,31.14,0.9804841433664853
FF,5,64,26,50,15.898295371775568,15.967015283837165,204,219,28.39,0.9857384124601237
FF,5,64,26,50,15.898295371775568,15.967015283837165,204,219,31.88,0.9857384124601237
FF,5,64,26,50,15.770321287680229,15.85875224631671,207,219,29.23,0.9804841433664853
FF,2,64,26,50,17.65586652125336,17.94343290807994,200,219,13.13,0.9830904276391235
FF,2,64,26,50,17.65586652125336,17.94343290807994,200,219,13.51,0.9830904276391235
FF,2,64,26,50,17.65586652125336,17.94343290807994,200,219,12.59,0.9830904276391235
FF,5,64,26,50,15.898295371775568,15.967015283837165,204,219,48.32,0.9857384124601237
FF,5,64,26,50,15.898295371775568,15.967015283837165,204,219,28.46,0.9857384124601237
FF,2,64,26,50,17.65586652125336,17.94343290807994,200,219,13.62,0.9830904276391235
FF,2,64,26,50,17.66351304713491,17.84181266070501,201,219,10.09,0.9852588561539586
FF,3,64,26,3553728592,15.721006603502353,15.757069121757054,204,219,69.62,0.9824232188653282
FF,3,64,26,331072536,16.376496597337702,17.724505189346942,198,219,13.35,0.980609245011572
FF,3,64,26,50945883,16.035252816155282,15.586558847122541,204,219,12.62,0.9888659535872897
FF,15,64,26,1772881106,13.079088544518848,13.430610870117466,211,218,55.92,0.9885740497487541
FF,15,64,26,282803953,14.89540046475098,15.455314235600163,207,219,55.62,0.988532349200392
FF,3,64,26,3619148007,15.386941124479025,14.979933788787285,209,219,12.28,0.9888242530389273
FF,3,64,26,3994589025,17.872586841114295,17.990035605757203,191,219,12.93,0.9907633285377703
FF,15,64,26,3256010327,14.003844853708312,13.427039712531382,205,218,57.08,0.982027063655887
FF,50,64,26,2707781080,10.608581597936677,10.339154874897439,216,218,221.67,0.9884489481036675
FF,15,64,26,1962977299,14.899577061623539,14.480747995855602,202,219,53.39,0.9904297241508725
FF,3,64,26,249765509,15.126968681499969,14.38079178169982,205,219,15.14,0.9851129042346906
FF,3,64,26,2529341515,14.573340222221477,15.241065928925117,205,219,13.19,0.9923062488271722
FF,3,64,26,3815307146,17.062488354102875,18.650482569655328,203,219,13.47,0.994641479535456
FF,3,64,26,4277267921,16.722900965674086,16.858805229674736,205,219,13.45,0.9854465086215883
FF,3,64,26,3771460636,17.814630105004394,16.530958436939816,198,219,13.41,0.9880319426200455
FF,3,64,26,2732206947,15.164654287778768,14.473667118647327,210,219,12.96,0.9868226267175413
FF,3,64,26,4183295142,14.97841754338281,14.691556242502987,207,219,16.08,0.9893663601676362
